x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.8 2 2
1.60441 1.92365 -1.05483 -0.604869 -0.961976 -0.0435214 0.8 2 2
1.42927 2.08974 0.742133 -0.467567 -1.403 -0.476527 0.799455 1.42927 2.08974
2.66125 1.62744 0.71996 0.0922806 -0.928509 -1.82156 0.799455 1.42927 2.08974
2.48534 2.01365 0.252144 1.2052 0.449975 -0.584929 0.798318 2.48534 2.01365
2.29669 3.02275 -0.901976 0.904573 0.818369 -1.87996 0.798318 2.48534 2.01365
2.2472 2.70818 0.185291 -0.922439 -0.244341 -0.120647 0.769947 2.2472 2.70818
2.0617 1.5426 -0.0538517 -0.642879 0.862552 0.972022 0.769947 2.2472 2.70818
0.812871 1.64545 -2.46557 0.327145 0.220055 -0.659155 0.799723 0.812871 1.64545
-0.439916 1.71314 -0.515064 0.552969 0.925219 0.122419 0.799723 0.812871 1.64545
-1.75232 1.9689 -1.60685 -0.21854 -1.37173 0.11869 0.8 -1.75232 1.9689
-2.80054 2.02589 -0.220084 0.967665 -0.267684 0.619038 0.8 -1.75232 1.9689
-2.0167 1.87238 0.879778 -0.417578 -0.660068 -0.430611 0.786754 -2.0167 1.87238
-0.983557 1.55142 0.52654 0.509138 -0.297393 -0.40078 0.786754 -2.0167 1.87238
-1.38649 2.29438 0.0920754 0.492046 1.0124 -1.15019 0.793798 -1.38649 2.29438
-1.40347 2.57139 -0.525211 -0.096336 0.179549 -1.87032 0.793798 -1.38649 2.29438
-1.85873 1.76985 -0.760607 -0.611276 -0.0280104 -0.378595 0.748934 -1.85873 1.76985
-2.66624 1.31383 0.0880771 -0.393035 -0.124411 -0.213379 0.748934 -1.85873 1.76985
-2.55165 1.60428 1.09943 0.710162 -1.23103 0.686129 0.799036 -2.55165 1.60428
-2.23766 1.54226 1.0379 -0.596366 -0.400716 -0.39037 0.799036 -2.55165 1.60428
-2.3349 1.80919 -0.821053 0.128486 -2.13938 -2.18488 0.771652 -2.3349 1.80919
-2.78659 1.83701 -0.657308 -0.465155 0.740486 -2.38186 0.771652 -2.3349 1.80919
-2.53827 1.3254 1.15998 -0.420455 0.467606 -0.853983 0.750166 -2.53827 1.3254
-1.05426 1.70866 1.38316 2.28826 0.481756 0.266899 0.750166 -2.53827 1.3254
-0.325832 2.69304 0.0922785 -1.09509 0.0994153 0.579353 0.8 -0.325832 2.69304
-0.995237 1.8417 -1.26585 -0.662194 0.196524 -2.22671 0.8 -0.325832 2.69304
-2.17465 2.37384 -0.328505 0.277044 0.333316 -1.20725 0.734217 -2.17465 2.37384
-1.46821 2.79761 0.739427 -0.076744 0.563027 -0.677291 0.734217 -2.17465 2.37384
-0.922936 1.82081 -0.0154729 -1.08649 -0.781299 -1.26407 0.797462 -0.922936 1.82081
-1.42745 1.68693 0.544028 1.27938 -0.378986 0.52202 0.797462 -0.922936 1.82081
-1.82574 2.12942 -0.947615 0.118158 -0.912615 -2.33082 0.714894 -1.82574 2.12942
-1.61358 2.29974 -1.70645 -0.813857 -0.498366 -0.780488 0.714894 -1.82574 2.12942
-2.75472 1.96017 -0.123493 0.649287 -1.40345 1.94658 0.76129 -2.75472 1.96017
-2.23527 1.99415 -0.171771 -1.09443 -1.33938 -2.25125 0.76129 -2.75472 1.96017
-2.04981 1.73736 -0.43964 -0.288401 0.494035 -1.43757 0.693487 -2.04981 1.73736
-2.18158 1.77326 0.251252 0.125578 2.28713 -0.438157 0.693487 -2.04981 1.73736
-2.27648 1.52632 0.89657 0.104886 -0.528949 1.54949 0.691094 -2.27648 1.52632
-2.35828 1.79823 0.0326701 0.167594 -0.827517 -0.584252 0.691094 -2.27648 1.52632
