x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.4 2 2
2.25454 2.11511 0.858659 0.548141 -0.608274 0.355548 0.4 2 2
2.09524 2.13935 -1.09077 -0.410664 -2.02859 0.781185 0.398574 2.09524 2.13935
1.26786 1.6889 0.0456103 -0.166123 0.903245 -0.59179 0.398574 2.09524 2.13935
2.18239 1.63997 0.956149 0.261874 2.25778 3.05374 0.397502 2.18239 1.63997
2.32377 2.52067 -0.384586 -0.191821 0.869031 -0.190329 0.397502 2.18239 1.63997
1.45796 1.39242 -0.503391 -1.3859 -0.731015 -0.346237 0.399947 1.45796 1.39242
1.2081 1.22378 0.754403 0.687461 0.869493 0.990962 0.399947 1.45796 1.39242
2.04865 2.05251 1.19214 0.865089 0.932003 -0.960211 0.395627 2.04865 2.05251
2.98584 2.5911 -0.0565223 -0.325824 -0.930977 -0.61412 0.395627 2.04865 2.05251
2.21149 2.03145 0.0672233 0.484578 0.951544 0.831282 0.395059 2.21149 2.03145
2.45114 2.24899 -0.311529 -0.60604 0.187274 -0.732483 0.395059 2.21149 2.03145
2.55275 2.1273 0.213069 0.100623 1.51173 -0.29833 0.399128 2.55275 2.1273
2.66826 2.07546 0.667741 1.02852 0.991052 -1.47777 0.399128 2.55275 2.1273
2.81291 2.01385 -0.348528 -0.405994 -0.772674 0.840924 0.399283 2.81291 2.01385
2.3689 1.88061 0.0173036 0.412458 -0.0919453 -0.399291 0.399283 2.81291 2.01385
2.28704 2.42882 -0.845179 0.0629802 0.0433628 -0.225058 0.394119 2.28704 2.42882
2.31204 2.24033 0.638898 0.102291 -0.966706 1.70752 0.394119 2.28704 2.42882
2.75139 2.26243 -0.0113563 0.715886 0.171632 -0.183153 0.397323 2.75139 2.26243
2.46818 2.55561 -0.0858826 -0.492559 -0.28442 0.528659 0.397323 2.75139 2.26243
1.96763 2.07687 -1.5666 -0.43959 -1.41783 -0.490879 0.393544 1.96763 2.07687
1.61385 1.31276 0.807051 -0.425778 0.142541 -0.182046 0.393544 1.96763 2.07687
2.00877 1.38116 -1.47613 0.148098 -1.75822 -0.631498 0.391241 2.00877 1.38116
1.50847 1.77095 -0.246554 0.139641 0.507518 -1.23162 0.391241 2.00877 1.38116
1.55009 1.94696 0.704854 -0.165712 -0.879305 0.451636 0.398019 1.55009 1.94696
1.51477 1.75172 -0.0965773 0.071255 0.592142 0.6292 0.398019 1.55009 1.94696
1.65563 2.00591 0.0104095 0.138214 0.219148 -0.204405 0.396029 1.65563 2.00591
1.27186 1.7963 -0.0843078 -0.58342 -0.598858 -1.96298 0.396029 1.65563 2.00591
1.79729 1.70461 0.415774 0.4693 -0.7038 -0.427664 0.393003 1.79729 1.70461
2.83476 2.11635 0.773997 0.561011 -0.889738 0.292481 0.393003 1.79729 1.70461
2.67938 2.61376 -0.495882 -0.55302 1.59137 -1.01902 0.395499 2.67938 2.61376
3.06496 2.54799 0.283671 -0.455028 1.51703 1.19158 0.395499 2.67938 2.61376
3.11304 2.36708 -0.0631222 0.040043 -2.19325 -0.761764 0.398991 3.11304 2.36708
2.73509 2.47408 -0.601272 0.496637 0.2169 0.207719 0.398991 3.11304 2.36708
2.0146 2.33294 -0.570914 0.019749 0.942961 -0.316083 0.388357 2.0146 2.33294
2.37218 2.23566 1.0118 -0.322151 -0.124073 0.283606 0.388357 2.0146 2.33294
2.57175 1.85429 -0.667914 -0.0112534 -0.0631406 -0.310482 0.393841 2.57175 1.85429
2.73575 2.31848 0.251628 0.788029 -0.167911 0.151534 0.393841 2.57175 1.85429
