x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.4 2 2
1.83885 2.05676 -0.725146 0.46147 0.853714 1.07291 0.4 2 2
2.03341 2.27266 0.963799 0.733148 0.704796 1.72871 0.398425 2.03341 2.27266
2.16793 1.71909 -0.873609 -0.324501 -0.985014 -0.000927277 0.398425 2.03341 2.27266
1.56353 1.74176 0.596441 0.71419 -0.892022 0.747411 0.399751 1.56353 1.74176
2.59888 2.69532 -0.259211 0.455174 0.171677 -0.97312 0.399751 1.56353 1.74176
1.82417 2.27791 0.16966 -1.63856 0.555199 -1.55926 0.397316 1.82417 2.27791
1.52799 1.5579 -0.378562 0.721783 -1.13495 2.70783 0.397316 1.82417 2.27791
1.84286 1.85208 -0.141152 0.565925 0.549207 -2.12876 0.395651 1.84286 1.85208
1.8566 2.36136 0.672279 0.877485 -0.293769 -1.07186 0.395651 1.84286 1.85208
2.22982 2.27651 -0.301091 -0.547793 1.87753 -0.444095 0.397743 2.22982 2.27651
2.4734 2.58639 -0.0731683 0.445265 -0.106076 0.231369 0.397743 2.22982 2.27651
2.11629 2.29728 0.291664 -0.350236 -0.229854 -0.00640001 0.394664 2.11629 2.29728
2.49738 2.04627 0.33862 -0.0188818 -0.256672 0.651255 0.394664 2.11629 2.29728
2.63661 2.15888 -0.455511 0.0929877 -0.686022 0.304568 0.399718 2.63661 2.15888
2.21485 2.87493 -0.628407 0.213104 -0.992433 0.350228 0.399718 2.63661 2.15888
2.35188 1.91071 0.00570444 -1.50443 1.18056 -1.73115 0.396426 2.35188 1.91071
1.55973 1.25467 0.0808597 0.220228 -1.20738 0.768038 0.396426 2.35188 1.91071
2.64764 1.97006 1.48371 0.675724 0.324869 -0.336085 0.39763 2.64764 1.97006
3.37837 2.51134 -0.447789 0.167986 -2.95127 1.20494 0.39763 2.64764 1.97006
2.15034 2.50584 -1.46747 0.110225 0.448663 -0.0748035 0.392459 2.15034 2.50584
0.854337 1.92918 -0.724138 -1.1384 -1.1705 0.951778 0.392459 2.15034 2.50584
2.18463 1.58927 0.477796 -0.0130529 0.438149 -0.897858 0.391224 2.18463 1.58927
1.55018 1.58552 0.495504 -0.225382 -2.09285 -0.344883 0.391224 2.18463 1.58927
1.83747 1.56579 -0.209871 -0.426853 0.902433 1.16953 0.392445 1.83747 1.56579
1.68259 1.79783 0.589224 0.60846 2.13369 0.989171 0.392445 1.83747 1.56579
1.74313 1.53505 -0.499978 -0.309541 0.768995 1.41182 0.392765 1.74313 1.53505
1.73504 1.21649 -1.09099 -0.429182 -0.333152 1.83847 0.392765 1.74313 1.53505
1.5928 1.4991 0.736294 0.394305 -0.378576 -0.807025 0.394534 1.5928 1.4991
2.0996 1.41552 -0.445794 0.444711 0.184682 -0.808886 0.394534 1.5928 1.4991
1.59484 1.83426 0.233003 0.235144 0.465183 -0.464137 0.392936 1.59484 1.83426
1.9279 1.70732 -0.245106 -0.826497 0.740484 0.808521 0.392936 1.59484 1.83426
1.8234 2.07794 -0.126642 0.0555315 0.0252064 -0.741103 0.38817 1.8234 2.07794
2.14834 1.59621 0.695144 -0.790542 0.227975 0.0240906 0.38817 1.8234 2.07794
1.83431 1.32969 -0.938808 0.361516 2.12145 -1.22104 0.386597 1.83431 1.32969
1.30319 1.06881 0.677638 -0.236539 -2.37036 -1.22359 0.386597 1.83431 1.32969
1.47133 0.959276 -1.0463 0.292988 1.04048 -0.219168 0.393741 1.47133 0.959276
1.27007 1.85357 -0.00467467 -0.418097 -0.720647 -0.754334 0.393741 1.47133 0.959276
1.25517 1.32632 -0.228255 -0.439837 0.531254 -0.704511 0.397685 1.25517 1.32632
1.65815 1.71669 0.292501 0.0792533 -1.2836 -0.0778503 0.397685 1.25517 1.32632
2.17217 2.25488 0.18935 -0.0839542 0.288023 -1.13723 0.388309 2.17217 2.25488
1.66741 2.08159 -0.917397 -1.09737 -0.878818 -0.0362451 0.388309 2.17217 2.25488
2.36834 1.72314 0.38606 -0.0675298 2.14736 -0.920177 0.391525 2.36834 1.72314
2.75154 2.77136 -1.09146 0.616527 0.771987 -0.145373 0.391525 2.36834 1.72314
2.40524 2.79282 0.186082 0.150661 0.905785 1.18128 0.390853 2.40524 2.79282
2.35489 2.83841 -0.455219 -0.77483 0.540874 0.306194 0.390853 2.40524 2.79282
2.48995 2.37193 0.251751 -0.677704 -0.0697073 -0.906915 0.391238 2.48995 2.37193
2.84396 2.25385 0.881156 0.537187 -0.432604 1.51595 0.391238 2.48995 2.37193
2.65937 2.38757 -0.744796 -0.816914 0.279705 0.321399 0.393602 2.65937 2.38757
2.07014 2.04153 -0.885395 0.0317389 0.0042474 0.241347 0.393602 2.65937 2.38757
1.67267 2.24262 0.868603 0.151579 1.69506 -0.996716 0.386509 1.67267 2.24262
2.57852 2.39225 0.848277 -0.390806 0.060185 2.10393 0.386509 1.67267 2.24262
3.05351 2.01703 1.12426 -0.253964 -0.963097 -0.30676 0.399344 3.05351 2.01703
3.56216 2.57229 0.0611125 0.962802 -0.884244 0.390549 0.399344 3.05351 2.01703
2.65873 2.89556 -1.22746 0.346197 0.546258 0.346107 0.391818 2.65873 2.89556
2.18877 2.9082 -0.216932 0.469221 1.64248 -0.0639049 0.391818 2.65873 2.89556
2.16265 2.54052 -0.209221 -0.605436 -1.37262 1.88868 0.384397 2.16265 2.54052
1.94798 2.31202 -0.913662 -0.796283 0.0928011 -2.24463 0.384397 2.16265 2.54052
1.6504 1.16954 -0.65388 -1.21755 -1.12415 -0.137269 0.385422 1.6504 1.16954
1.29667 0.408559 0.659428 -0.869022 -1.2221 -0.37641 0.385422 1.6504 1.16954
1.71911 -0.302341 -0.514262 -1.55022 -0.913147 -0.695667 0.382709 1.71911 -0.302341
1.98047 -1.57523 0.286346 -1.84367 -0.838299 -0.438796 0.382709 1.71911 -0.302341
2.11025 -2.56582 0.0779955 0.115489 -1.88598 0.622288 0.382357 2.11025 -2.56582
1.79427 -2.1706 -1.6474 -0.434129 -0.942383 -0.218848 0.382357 2.11025 -2.56582
2.08496 -2.3336 0.685833 0.12141 -0.633572 2.22789 0.380749 2.08496 -2.3336
2.09905 -1.76728 -1.12838 -0.149358 -0.0815312 1.48698 0.380749 2.08496 -2.3336
1.84971 -2.15457 -0.315255 -0.533007 -1.35636 -0.328458 0.3794 1.84971 -2.15457
1.66541 -2.68147 0.561379 0.263378 -0.733624 -1.68391 0.3794 1.84971 -2.15457
1.77661 -2.48877 0.124373 0.704174 -0.624371 0.687025 0.378598 1.77661 -2.48877
1.73363 -2.62352 -0.307941 -0.235837 -0.108203 1.16513 0.378598 1.77661 -2.48877
1.65787 -2.34508 0.289524 0.950493 1.19395 -1.06897 0.379992 1.65787 -2.34508
2.31687 -1.61604 -0.922273 0.278857 1.41611 1.07595 0.379992 1.65787 -2.34508
1.96193 -1.04291 0.258813 -0.288869 1.06182 -0.811574 0.376508 1.96193 -1.04291
2.13306 -1.80044 0.501229 -0.505183 1.27234 0.578581 0.376508 1.96193 -1.04291
2.23486 -1.98346 0.431881 0.991005 0.271158 2.3456 0.380232 2.23486 -1.98346
1.77401 -1.73336 -0.139616 -0.130647 -0.452385 -0.72622 0.380232 2.23486 -1.98346
