x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.4 2 2
2.42455 2.24713 0.174563 -0.165994 0.637229 0.0441462 0.4 2 2
1.61021 2.88294 -0.943971 -0.122362 0.844343 -0.508384 0.399761 1.61021 2.88294
1.574 2.01821 0.276718 -1.26582 -0.133674 -1.50192 0.399761 1.61021 2.88294
1.99648 1.2612 -0.388417 0.442275 -0.443143 2.19746 0.398157 1.99648 1.2612
1.36335 1.85637 -0.116973 -0.375977 -0.0839378 0.973201 0.398157 1.99648 1.2612
1.86922 1.44237 1.28294 -0.167988 -0.830142 1.5124 0.396729 1.86922 1.44237
1.94972 1.11647 -1.27864 0.105846 1.68487 -0.68398 0.396729 1.86922 1.44237
1.2298 0.924561 0.692036 0.101594 -1.26838 0.398958 0.399727 1.2298 0.924561
2.13811 0.993211 0.341968 -0.0175123 0.36415 -1.69125 0.399727 1.2298 0.924561
1.51247 1.42398 -0.373144 0.687899 1.66596 1.09457 0.397509 1.51247 1.42398
1.87488 2.22493 0.945548 -0.633773 0.105924 -1.05131 0.397509 1.51247 1.42398
2.21478 2.0992 0.0300535 0.718887 1.53144 0.265144 0.397852 2.21478 2.0992
2.51611 2.16064 -0.106802 -1.12622 -0.964348 1.52194 0.397852 2.21478 2.0992
2.24168 2.4214 0.229092 0.850917 1.80843 -0.280113 0.396622 2.24168 2.4214
2.29601 2.7129 -0.0981261 -0.53945 0.794136 -2.29407 0.396622 2.24168 2.4214
2.51033 2.53262 0.361306 -0.476171 -0.386656 0.439198 0.398695 2.51033 2.53262
2.15609 1.94482 -0.873132 0.0093597 0.554996 -1.31356 0.398695 2.51033 2.53262
1.12587 2.43615 -0.493185 0.0026197 -1.06483 -0.153333 0.398274 1.12587 2.43615
0.890816 1.65006 0.000346411 -0.594995 -0.658556 -1.44929 0.398274 1.12587 2.43615
1.63488 1.1035 1.24531 -0.249067 0.122504 0.153119 0.395402 1.63488 1.1035
2.28807 1.53007 -0.811526 0.843256 1.17358 -1.08045 0.395402 1.63488 1.1035
1.51534 2.25976 -0.131264 0.850016 -2.3503 0.659646 0.394372 1.51534 2.25976
2.48422 2.36407 0.634273 -0.192439 -1.50897 -1.38846 0.394372 1.51534 2.25976
2.22059 2.00956 -0.0495249 -0.365386 -0.528207 -0.468458 0.394212 2.22059 2.00956
1.77517 2.09332 -0.136055 -0.0886583 -0.321668 -0.246704 0.394212 2.22059 2.00956
2.44081 1.92621 1.12947 -0.664719 -0.323811 -1.27886 0.395553 2.44081 1.92621
2.43082 2.32359 -0.811794 1.0891 0.406714 -0.220344 0.395553 2.44081 1.92621
2.36955 2.83731 0.265046 -0.252062 -1.19374 0.870684 0.393022 2.36955 2.83731
2.7696 2.37679 0.816086 -0.413666 -1.50971 0.550882 0.393022 2.36955 2.83731
2.90777 2.50428 -0.740419 -0.51863 0.188359 -0.964169 0.399619 2.90777 2.50428
2.01223 2.00722 -0.868844 -0.416642 0.810764 -0.681824 0.399619 2.90777 2.50428
2.05436 1.48139 0.804305 0.269293 0.446745 -0.917384 0.391484 2.05436 1.48139
2.16197 1.75661 -1.57263 0.669513 -0.232691 -0.347903 0.391484 2.05436 1.48139
1.95837 2.05399 0.549573 0.779315 0.266585 0.871624 0.390835 1.95837 2.05399
