x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.3 2 2
1.87425 2.50209 -0.301916 0.214534 2.59034 0.96274 0.3 2 2
2.31138 2.11493 0.402883 -0.980998 1.52228 -1.2748 0.299896 2.31138 2.11493
1.62716 1.83043 -0.566534 0.684874 1.11427 0.0666854 0.299896 2.31138 2.11493
1.80216 2.3394 0.572431 -0.209873 0.98172 0.150678 0.29962 1.80216 2.3394
2.57884 2.06283 -0.83724 -0.4384 0.76681 0.484193 0.29962 1.80216 2.3394
2.12367 2.19342 -0.0463382 0.323512 -0.584718 -0.705772 0.29886 2.12367 2.19342
2.39582 2.58626 0.261036 0.220773 1.35801 -0.182009 0.29886 2.12367 2.19342
2.18297 2.31249 -0.779142 -0.806379 -1.02581 -0.0731596 0.29809 2.18297 2.31249
1.5951 1.7023 0.334373 0.0222497 -0.032433 0.761311 0.29809 2.18297 2.31249
1.96463 1.81148 -1.02447 -0.344596 0.771222 0.666777 0.29775 1.96463 1.81148
1.70672 1.75699 0.88372 -0.0932363 -0.35471 -0.627718 0.29775 1.96463 1.81148
1.63435 1.5881 -0.0979816 -0.133058 -1.09678 0.873497 0.299389 1.63435 1.5881
1.94203 1.76607 -0.315942 -0.529931 -0.542941 0.0979831 0.299389 1.63435 1.5881
1.81194 1.77406 -0.205276 -0.304684 -0.664925 -0.560599 0.297576 1.81194 1.77406
1.94613 1.44499 0.0724707 -0.704836 -0.196494 -0.50828 0.297576 1.81194 1.77406
1.98479 1.49897 -0.339785 0.332757 -0.0304172 -1.50459 0.296255 1.98479 1.49897
1.50716 1.74018 0.078112 0.310402 0.0520232 -0.133236 0.296255 1.98479 1.49897
2.48286 1.96453 0.979102 0.279134 -0.818515 0.24978 0.299349 2.48286 1.96453
2.42002 2.38991 -1.19164 -0.377207 0.489754 -0.45808 0.299349 2.48286 1.96453
1.92857 2.22386 0.214036 -0.338965 -2.21662 0.882605 0.295481 1.92857 2.22386
2.16924 1.82037 -0.529481 0.00906217 -1.29131 -0.0430089 0.295481 1.92857 2.22386
2.42094 2.66647 -0.150516 1.71827 -0.0185068 1.49971 0.298069 2.42094 2.66647
2.28505 3.10541 0.870449 -0.745625 -0.415607 -1.63236 0.298069 2.42094 2.66647
2.29978 2.6221 -0.285822 -0.0563036 -0.134235 0.625501 0.296597 2.29978 2.6221
1.96473 2.14851 -0.237421 -0.846144 -1.4394 1.45155 0.296597 2.29978 2.6221
1.87117 1.30243 0.27621 -0.500668 0.677604 -0.284124 0.294952 1.87117 1.30243
1.81733 1.42632 -1.1452 0.713486 1.54606 -2.20065 0.294952 1.87117 1.30243
1.19297 1.90436 0.344409 0.362197 0.0561876 0.863712 0.299988 1.19297 1.90436
2.31644 1.94536 0.740427 -0.0383145 -1.27104 1.31968 0.299988 1.19297 1.90436
1.93916 1.90936 -0.858449 -0.0393039 0.982954 0.370363 0.29374 1.93916 1.90936
1.18284 1.8926 0.885521 -0.396305 -0.812716 1.86458 0.29374 1.93916 1.90936
2.32067 1.47406 0.199101 0.405425 1.14009 0.375055 0.295774 2.32067 1.47406
2.16615 2.38257 -0.0642482 0.590779 -1.43063 0.255112 0.295774 2.32067 1.47406
2.20046 2.96348 0.370328 0.0560869 0.067906 -1.78445 0.294432 2.20046 2.96348
2.46441 2.39181 -0.674788 -0.874006 -0.3396 -1.98953 0.294432 2.20046 2.96348
1.24994 1.94142 -0.456646 0.332116 0.645893 -1.06222 0.299128 1.24994 1.94142
1.88222 2.31173 1.10368 0.547104 -0.194784 2.09615 0.299128 1.24994 1.94142
2.06988 2.32834 0.400458 -0.342815 0.331563 0.480498 0.292946 2.06988 2.32834
2.45127 2.42996 0.310275 0.362339 -1.91664 0.26876 0.292946 2.06988 2.32834
2.48732 2.7984 -0.140971 0.57254 -0.77764 -0.993586 0.296638 2.48732 2.7984
2.28799 2.6922 -0.676919 -0.48286 -0.466777 1.67734 0.296638 2.48732 2.7984
1.60602 1.952 -0.46235 -0.349614 0.363369 -0.658751 0.297846 1.60602 1.952
1.78469 1.41159 0.237105 -0.675819 -0.181026 0.864316 0.297846 1.60602 1.952
1.55283 1.17047 0.0390376 0.140714 -1.30927 -0.34319 0.29759 1.55283 1.17047
1.94978 1.95851 -0.173254 0.343328 -2.26493 -0.512006 0.29759 1.55283 1.17047
1.6139 1.82881 0.118648 -0.571318 -0.0236032 -0.983951 0.296045 1.6139 1.82881
2.06146 1.962 0.790752 0.997485 -0.625646 0.178345 0.296045 1.6139 1.82881
2.34752 2.46445 -1.26122 0.248275 1.37168 -0.329572 0.293823 2.34752 2.46445
1.69535 2.1628 0.302323 -0.702439 -1.27271 0.891031 0.293823 2.34752 2.46445
2.34096 1.82836 0.643406 0.403305 0.599977 0.267631 0.292901 2.34096 1.82836
1.73659 1.79526 -1.00562 0.86783 1.05626 -0.36206 0.292901 2.34096 1.82836
1.95196 2.3836 1.19627 -0.863639 -0.74989 -1.93012 0.291775 1.95196 2.3836
2.4123 1.708 -0.31902 0.126991 -1.54934 1.82428 0.291775 1.95196 2.3836
2.19908 1.89814 -0.308476 0.00665475 -0.676578 -0.514098 0.291537 2.19908 1.89814
1.70573 1.82747 0.0580385 -0.040382 -0.144293 1.5364 0.291537 2.19908 1.89814
1.90844 1.69773 -0.762841 -1.1728 -1.20992 0.349018 0.291091 1.90844 1.69773
1.58571 0.68578 0.111161 -0.177131 1.5509 -0.00679524 0.291091 1.90844 1.69773
1.72455 0.512695 -0.000762137 0.366186 2.37649 -0.67191 0.293355 1.72455 0.512695
2.07015 1.20556 0.379639 1.67081 0.178036 0.475426 0.293355 1.72455 0.512695
1.91638 2.1812 0.306832 -0.703811 -1.11397 -0.451884 0.289786 1.91638 2.1812
2.24491 2.01342 0.159987 0.855689 0.575307 0.3516 0.289786 1.91638 2.1812
2.39764 2.214 0.120735 -0.805634 -0.764013 0.128413 0.292389 2.39764 2.214
2.28401 2.31414 0.183156 0.798208 -0.714979 0.419736 0.292389 2.39764 2.214
2.01703 2.52934 -0.177879 -0.0408854 -0.413251 -0.0778548 0.289007 2.01703 2.52934
2.74673 2.59966 0.30709 0.307375 -1.18152 1.10149 0.289007 2.01703 2.52934
2.52942 2.43352 0.385442 0.202954 -1.05404 2.33359 0.29504 2.52942 2.43352
2.57553 2.41004 -1.28416 -0.110524 2.56529 0.975584 0.29504 2.52942 2.43352
1.59529 2.18532 0.143597 -0.421128 -1.47635 0.710329 0.294532 1.59529 2.18532
1.60709 0.993071 0.242015 -1.22997 -0.0843102 0.444589 0.294532 1.59529 2.18532
1.79672 0.127925 0.491872 -0.10713 0.299268 -1.23075 0.290049 1.79672 0.127925
1.68223 -0.115267 0.386617 -0.729657 -0.0838932 0.523946 0.290049 1.79672 0.127925
2.05597 -1.75257 1.25835 -1.79614 0.457188 0.409529 0.288292 2.05597 -1.75257
2.04437 -2.59275 -0.715629 0.412746 1.02615 -0.844426 0.288292 2.05597 -1.75257
