x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.3 2 2
1.8687 1.79309 -0.0912305 -0.649892 -0.207117 -0.613186 0.3 2 2
2.09659 2.17245 -0.0499837 1.18116 1.2373 -0.0238654 0.299269 2.09659 2.17245
2.10664 2.60967 -0.525489 -0.425652 -0.497137 -0.416486 0.299269 2.09659 2.17245
2.22056 2.35301 0.799923 -0.42603 -1.28885 -0.983223 0.299058 2.22056 2.35301
2.43855 2.08357 -1.45743 -0.0705909 -0.781465 -0.17933 0.299058 2.22056 2.35301
1.61594 1.55398 -0.256637 0.598222 2.26341 1.75572 0.299961 1.61594 1.55398
2.0384 2.15463 0.0903347 -0.270421 0.896877 -1.89275 0.299961 1.61594 1.55398
1.75135 1.54054 0.573013 -0.378436 0.783202 0.264482 0.299105 1.75135 1.54054
2.13525 1.99405 0.506332 0.795774 0.194896 -0.72452 0.299105 1.75135 1.54054
2.54817 2.74987 -1.37292 0.370941 -0.769987 -0.205756 0.299907 2.54817 2.74987
1.49565 2.23615 0.79976 -0.411182 1.04361 2.11142 0.299907 2.54817 2.74987
2.03265 1.60113 0.399928 -0.443736 0.0854135 -0.804051 0.297725 2.03265 1.60113
1.98132 1.80312 0.499984 1.03694 0.31866 -2.47449 0.297725 2.03265 1.60113
2.36293 2.16602 -0.532942 -0.238506 0.0558215 -0.77286 0.298698 2.36293 2.16602
1.93409 2.20758 0.889382 0.166804 -1.52584 1.38143 0.298698 2.36293 2.16602
2.22097 1.6547 -0.0884201 0.0559478 -0.282354 -0.178115 0.297107 2.22097 1.6547
1.60749 2.17636 0.0299314 1.08956 -0.0221826 0.200138 0.297107 2.22097 1.6547
2.07366 2.16309 0.577295 -0.577111 -0.954528 -0.85837 0.296131 2.07366 2.16309
2.45947 2.20994 0.198672 1.10842 -0.383163 0.844155 0.296131 2.07366 2.16309
2.07573 2.01637 -1.18641 -0.797028 0.481798 -1.80175 0.295246 2.07573 2.01637
1.5911 1.61959 0.136392 0.275741 2.01552 -0.704964 0.295246 2.07573 2.01637
