x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
2 2 0 0 0 0 0.3 2 2
2.37183 2.05134 -0.271778 0.817418 0.828908 -0.31006 0.3 2 2
1.79552 2.03879 -0.510373 -0.00252114 0.272135 -1.68141 0.299645 1.79552 2.03879
1.45191 1.98307 -0.641293 -0.439865 -0.386384 -0.0347863 0.299645 1.79552 2.03879
1.56704 1.4518 1.13506 -0.726853 -1.00796 -0.0502109 0.299704 1.56704 1.4518
2.88939 1.60469 0.164267 0.176062 -0.31661 -1.36719 0.299704 1.56704 1.4518
2.12092 1.94425 -0.592438 0.129016 -1.07232 -0.604984 0.299264 2.12092 1.94425
1.26012 1.89569 -0.708557 0.211749 0.0839217 -0.151133 0.299264 2.12092 1.94425
1.09494 2.04932 -0.0106404 0.423011 0.0294539 0.54604 0.299994 1.09494 2.04932
2.0343 1.79833 -0.0470915 -0.346461 -0.521209 -0.863577 0.299994 1.09494 2.04932
1.08832 1.30055 -0.702815 0.48754 1.56761 0.269202 0.299097 1.08832 1.30055
0.710161 1.47055 -0.231597 -0.0199655 1.02882 1.87457 0.299097 1.08832 1.30055
0.996209 1.97456 0.412891 0.582486 -0.617724 -1.78463 0.298535 0.996209 1.97456
1.86181 2.27135 0.0367774 -0.051943 -1.14842 -0.353312 0.298535 0.996209 1.97456
1.6093 1.71053 0.453026 -0.0643837 1.01267 0.59934 0.298685 1.6093 1.71053
1.65364 1.96321 -0.405524 0.402233 -1.19708 0.53278 0.298685 1.6093 1.71053
2.15519 1.84602 1.37634 0.1605 1.51887 -0.748538 0.29855 2.15519 1.84602
2.4446 2.19295 -1.23755 0.362067 0.719372 0.617767 0.29855 2.15519 1.84602
2.37766 2.28821 0.112555 -0.530066 1.44511 0.502553 0.299456 2.37766 2.28821
2.58034 1.77095 0.830766 0.295799 1.66424 -0.346552 0.299456 2.37766 2.28821
2.51618 1.6011 -0.203352 -0.098389 1.04925 0.873694 0.299334 2.51618 1.6011
2.38952 2.02563 -0.457697 0.679355 -0.412131 0.721288 0.299334 2.51618 1.6011
2.2375 2.49784 0.154258 0.122973 -1.9525 -0.0411485 0.297566 2.2375 2.49784
2.33489 2.4964 0.510732 0.196366 0.401441 0.327723 0.297566 2.2375 2.49784
2.54696 2.24489 -0.441979 -1.37354 -0.252593 -0.876622 0.298496 2.54696 2.24489
1.71517 1.88746 -0.583474 0.386622 0.417019 -0.465454 0.298496 2.54696 2.24489
1.63701 2.17865 -0.348279 -0.522955 -2.02681 1.06098 0.297749 1.63701 2.17865
2.3411 1.67136 0.287433 0.0189656 -1.18566 0.69045 0.297749 1.63701 2.17865
2.26393 2.31162 -0.405128 0.682951 0.580701 0.614062 0.29664 2.26393 2.31162
1.95945 1.68127 0.152696 -1.13295 0.90171 0.0566577 0.29664 2.26393 2.31162
1.82379 1.81307 -0.589653 0.766588 0.455932 1.01288 0.297497 1.82379 1.81307
1.43208 2.10845 -0.501051 -0.840939 0.0206839 0.176226 0.297497 1.82379 1.81307
1.56543 1.80323 0.385587 0.889019 1.81702 -0.514992 0.296953 1.56543 1.80323
1.83178 2.29998 0.824163 -0.410045 0.711697 0.68646 0.296953 1.56543 1.80323
2.51635 1.38601 -0.527437 -0.479716 -1.71433 1.00575 0.297198 2.51635 1.38601
1.49982 1.71952 -0.609972 0.532619 -0.667127 -1.60665 0.297198 2.51635 1.38601
1.48721 2.22441 -0.162945 0.327942 -0.0429012 1.01046 0.297028 1.48721 2.22441
1.1285 2.50981 -0.481318 0.105083 1.46361 0.348442 0.297028 1.48721 2.22441
0.955688 1.99339 0.416162 -1.06411 0.335276 0.614271 0.297949 0.955688 1.99339
2.19381 1.48899 1.16806 0.174789 -0.754342 -0.593148 0.297949 0.955688 1.99339
1.97275 2.27311 -1.33171 0.917841 -0.975362 1.25625 0.296642 1.97275 2.27311
1.03279 2.15201 0.0882051 -0.485944 -0.202498 0.431582 0.296642 1.97275 2.27311
1.75735 1.41254 0.818982 -0.462054 -0.198459 0.459895 0.295542 1.75735 1.41254
2.2884 2.06823 0.66284 1.40211 1.8255 -0.406818 0.295542 1.75735 1.41254
2.84028 3.01141 -0.42137 -0.110534 -2.29113 1.75328 0.299686 2.84028 3.01141
1.99299 2.11388 -0.112025 -1.38209 -0.760803 -0.16305 0.299686 2.84028 3.01141
1.76888 1.3625 0.0700907 -0.542025 0.10323 -0.0578102 0.294727 1.76888 1.3625
1.44752 1.64689 1.05615 1.07913 -0.832387 -0.461278 0.294727 1.76888 1.3625
2.70347 2.14537 1.39403 0.895219 -2.84757 -0.529847 0.297967 2.70347 2.14537
2.44303 2.04187 -1.00132 -1.24098 0.45959 0.422956 0.297967 2.70347 2.14537
1.90435 1.98442 1.12818 1.17948 0.330739 0.673438 0.294767 1.90435 1.98442
2.35855 2.28581 -0.166443 -0.506853 0.559173 -1.50851 0.294767 1.90435 1.98442
1.87443 1.65522 0.094728 -0.937096 1.40884 -1.2967 0.293716 1.87443 1.65522
2.38453 1.46624 0.676684 0.363764 0.79423 0.543801 0.293716 1.87443 1.65522
2.28806 2.19947 -0.278263 0.245212 1.51753 -0.47032 0.295381 2.28806 2.19947
1.77655 2.10009 0.114612 -0.533563 0.072791 0.925988 0.295381 2.28806 2.19947
2.44605 2.07951 -0.10034 0.428587 -0.939105 -0.316411 0.295162 2.44605 2.07951
2.61709 2.8361 1.21898 -0.0137241 -1.03407 0.365364 0.295162 2.44605 2.07951
2.81443 2.0721 -0.630078 -0.794712 -1.49102 -0.969788 0.297951 2.81443 2.0721
2.38123 2.46094 -0.498758 0.815138 1.17252 -0.752802 0.297951 2.81443 2.0721
2.45383 2.89921 0.861874 -0.152401 0.0826427 -0.561915 0.294283 2.45383 2.89921
3.57756 2.89489 0.132044 0.136595 0.484635 0.401235 0.294283 2.45383 2.89921
2.76485 2.55574 -1.2903 -0.156082 0.185739 -0.159774 0.296555 2.76485 2.55574
1.73758 2.3805 -0.673922 -0.790908 -1.07217 -0.0857264 0.296555 2.76485 2.55574
2.11431 1.6231 -0.0072367 -0.462432 -1.34492 0.238432 0.294089 2.11431 1.6231
2.57605 1.99738 0.231684 0.252454 -0.0182085 0.903547 0.294089 2.11431 1.6231
2.90651 1.92157 0.0831635 -0.189169 -1.5315 -0.41492 0.297398 2.90651 1.92157
2.66327 2.05836 -0.132117 -0.306329 0.505903 -1.45355 0.297398 2.90651 1.92157
1.59283 2.38235 -1.01333 0.783174 -1.07111 0.95762 0.29397 1.59283 2.38235
0.598451 2.18082 -0.458241 -0.832936 1.3352 0.410926 0.29397 1.59283 2.38235
0.552842 1.58067 0.0485262 0.108212 -0.198088 0.743654 0.299962 0.552842 1.58067
1.47978 1.88557 1.34142 -0.017606 -0.606819 1.16073 0.299962 0.552842 1.58067
1.89477 2.07615 0.0146846 0.243008 -1.20633 -0.36433 0.292548 1.89477 2.07615
2.10017 2.53661 -0.158279 0.560001 0.66954 1.99182 0.292548 1.89477 2.07615
2.12064 2.18359 0.105154 -0.768208 1.10955 -0.702226 0.292947 2.12064 2.18359
2.25291 1.94652 0.327082 0.761128 -1.75375 -0.0215358 0.292947 2.12064 2.18359
2.49021 2.25334 -0.482307 -0.667615 0.812701 0.854141 0.293374 2.49021 2.25334
2.25934 1.45367 0.255003 0.0945648 0.381992 -1.54958 0.293374 2.49021 2.25334
2.07969 1.75141 -0.82967 0.176055 -2.3949 0.37969 0.291966 2.07969 1.75141
0.951799 1.57285 -0.858368 0.31871 -1.00117 0.161423 0.291966 2.07969 1.75141
0.384954 2.22221 -0.181168 0.257906 2.20665 -0.593308 0.299518 0.384954 2.22221
0.395022 1.75262 -0.354633 -0.0908387 0.110014 0.755781 0.299518 0.384954 2.22221
-0.127283 2.09724 -0.0446309 0.474476 -0.0569244 -0.0322465 0.299997 -0.127283 2.09724
-1.09826 1.8029 -2.13249 -0.104074 -0.187882 0.542418 0.299997 -0.127283 2.09724
-2.83528 1.57276 -0.269651 0.101933 0.872212 -0.651508 0.3 -2.83528 1.57276
-2.05432 2.2868 1.39305 0.338229 0.5403 0.56889 0.3 -2.83528 1.57276
-1.80456 1.53387 -0.553423 0.0471426 1.02783 0.083789 0.3 -1.80456 1.53387
-2.39282 2.04247 -0.272887 0.151468 -0.884139 0.195263 0.3 -1.80456 1.53387
-2.46482 2.23288 0.140362 -0.277688 -0.584054 -0.850053 0.299957 -2.46482 2.23288
-1.99295 1.39335 0.655279 -0.844448 0.259732 -0.554255 0.299957 -2.46482 2.23288
-1.11316 1.77651 1.58581 0.899563 0.325504 -0.265431 0.3 -1.11316 1.77651
-0.687808 2.58417 -0.250349 0.808661 0.0998308 -0.706506 0.3 -1.11316 1.77651
-2.15646 2.46277 -1.62094 -1.16784 1.26539 1.06701 0.299834 -2.15646 2.46277
-2.59646 1.71911 0.446389 -0.971285 0.00307315 -2.00489 0.299834 -2.15646 2.46277
-1.96303 1.73139 0.735872 0.809436 -2.6496 -0.967396 0.299091 -1.96303 1.73139
-1.76864 2.45432 -0.514257 0.22177 0.986798 0.692624 0.299091 -1.96303 1.73139
-1.6428 1.99419 0.502361 0.1174 0.709096 1.15318 0.299401 -1.6428 1.99419
-1.94691 2.08874 0.000424794 -0.429379 -0.189036 -1.62847 0.299401 -1.6428 1.99419
-1.78614 2.1063 -0.714325 -0.0719514 -1.30357 1.27464 0.298054 -1.78614 2.1063
-2.33909 2.1595 -0.65633 -0.0821756 0.0999907 -0.990552 0.298054 -1.78614 2.1063
-2.69435 2.16942 0.563959 0.16222 0.739103 -0.243265 0.299142 -2.69435 2.16942
-1.79033 1.89904 1.04775 -0.0942515 0.235515 -0.676611 0.299142 -2.69435 2.16942
-0.862899 2.19197 -0.216768 0.190171 1.86638 -0.404348 0.299776 -0.862899 2.19197
-1.66099 1.87154 -0.546374 -0.0170899 1.24194 -1.26769 0.299776 -0.862899 2.19197
-2.16547 1.7474 -0.746817 -0.813875 0.363124 0.176875 0.298532 -2.16547 1.7474
-2.57579 1.85721 0.721057 -0.565101 -0.092274 -0.812151 0.298532 -2.16547 1.7474
-2.02261 1.56959 0.97268 -0.0607511 1.04004 -0.462382 0.29739 -2.02261 1.56959
-1.26629 2.18067 -0.291482 1.47106 -0.0347377 0.394519 0.29739 -2.02261 1.56959
-2.07651 2.58628 -0.608033 -0.941651 -0.0895194 0.318326 0.296621 -2.07651 2.58628
-2.24147 1.13132 0.207001 -1.43539 -0.209326 -1.12068 0.296621 -2.07651 2.58628
-1.85147 0.949334 0.262278 0.777715 -0.403903 0.659843 0.296362 -1.85147 0.949334
-2.59388 1.7594 0.0905527 0.957378 0.851587 -0.354866 0.296362 -1.85147 0.949334
-2.78838 2.53264 -0.188095 -0.059406 -0.497031 -0.976426 0.298322 -2.78838 2.53264
-2.87849 1.64376 0.939106 -1.19861 0.368432 -1.05011 0.298322 -2.78838 2.53264
-1.3834 1.68823 2.07131 1.32733 0.457269 0.861009 0.29957 -1.3834 1.68823
-0.803425 2.51024 -0.141758 0.50109 2.1793 -1.50602 0.29957 -1.3834 1.68823
-1.13718 2.2221 -0.855514 -0.960499 1.99322 -0.683481 0.298708 -1.13718 2.2221
-1.78119 1.67722 -0.482182 0.153471 1.68884 -0.493422 0.298708 -1.13718 2.2221
-2.24152 2.38416 -0.143127 0.13232 -0.214417 1.4451 0.297146 -2.24152 2.38416
-1.39258 2.08729 0.894502 -0.0754259 -0.00467463 1.61887 0.297146 -2.24152 2.38416
-1.49776 2.19221 -0.744628 0.0994834 0.868656 0.895412 0.298369 -1.49776 2.19221
-2.43147 2.172 -0.895899 -0.100785 -1.0166 -0.85272 0.298369 -1.49776 2.19221
-2.81641 1.90401 0.4872 0.472314 -0.255087 -0.459597 0.297535 -2.81641 1.90401
-2.03609 1.90136 1.14161 -0.836184 -1.68307 0.453211 0.297535 -2.81641 1.90401
-1.94747 1.91683 -0.0534983 0.588506 1.36992 1.53205 0.29504 -1.94747 1.91683
-1.91895 2.399 0.583158 0.189236 -0.698073 -0.476166 0.29504 -1.94747 1.91683
-1.37457 1.94738 0.00786126 -0.881757 -0.228927 0.0608152 0.297792 -1.37457 1.94738
-2.08562 1.69321 -0.911674 -0.0634384 1.12296 -0.393837 0.297792 -1.37457 1.94738
-2.36104 1.75051 0.0319778 0.532202 0.271687 0.86518 0.297541 -2.36104 1.75051
-2.99467 1.69599 0.160545 -0.0119469 -0.157928 0.508122 0.297541 -2.36104 1.75051
-2.23792 1.28746 0.158431 0.064059 0.444887 0.183764 0.295459 -2.23792 1.28746
-2.85278 1.7265 -1.05313 0.0625399 1.1636 0.850898 0.295459 -2.23792 1.28746
-2.82229 1.43991 1.32942 -0.310049 0.0110656 -0.380409 0.296672 -2.82229 1.43991
-1.35253 1.43426 0.513543 0.877104 -1.73962 -1.2385 0.296672 -2.82229 1.43991
-1.71576 2.48198 -0.707936 0.559037 -1.21129 1.11575 0.295942 -1.71576 2.48198
-1.2709 2.6854 0.297692 -0.809742 -0.626233 -0.619389 0.295942 -1.71576 2.48198
-1.24044 1.67092 1.0865 -1.27434 -0.733142 1.72904 0.297232 -1.24044 1.67092
0.270776 1.56328 1.03415 0.702749 0.030082 1.0925 0.297232 -1.24044 1.67092
0.896983 1.72571 0.141547 -0.901436 -0.564115 -0.574253 0.29762 0.896983 1.72571
1.70069 1.3934 0.114207 -0.157683 0.585788 0.0952907 0.29762 0.896983 1.72571
1.15007 1.27111 -0.301464 0.537353 -2.77289 0.00733957 0.297084 1.15007 1.27111
1.59209 1.67905 0.239806 -0.687228 -0.3699 -1.82773 0.297084 1.15007 1.27111
1.91549 1.62932 0.891028 0.57921 0.40348 -0.0139806 0.291004 1.91549 1.62932
2.75773 2.43266 0.592508 -0.144004 0.0817432 -0.936452 0.291004 1.91549 1.62932
3.28989 2.21521 -0.116189 0.0772788 0.271464 1.74847 0.299948 3.28989 2.21521
1.99354 1.43992 -1.56605 -0.621407 -0.0380111 1.60288 0.299948 3.28989 2.21521
0.924991 2.12308 -0.558766 1.73925 0.759017 0.118911 0.296169 0.924991 2.12308
0.989043 2.33245 0.707904 -0.748485 -0.0318762 0.223595 0.296169 0.924991 2.12308
1.49905 1.39872 -0.172568 -1.24787 -1.61181 0.921083 0.294728 1.49905 1.39872
2.05456 0.935072 -0.833679 0.449086 1.15673 -0.227598 0.294728 1.49905 1.39872
0.831534 1.39971 -1.2188 0.0310876 -0.285692 -0.720277 0.296686 0.831534 1.39971
-0.256527 1.46258 -0.320446 -0.394559 1.05154 -1.03177 0.296686 0.831534 1.39971
-0.431635 1.66666 -0.19428 0.168859 0.253001 -1.62954 0.299871 -0.431635 1.66666
-0.674262 1.85112 -0.426209 0.142277 1.04163 -0.291287 0.299871 -0.431635 1.66666
-1.31465 2.09968 0.432695 0.501577 0.252002 -0.128457 0.296237 -1.31465 2.09968
-1.24155 2.93403 -1.46474 0.544816 0.271805 -0.664255 0.296237 -1.31465 2.09968
-1.97025 2.05872 -0.208208 -1.77364 -2.50807 2.42146 0.293715 -1.97025 2.05872
-2.1143 1.86878 0.118843 1.14475 0.0974382 -0.551409 0.293715 -1.97025 2.05872
-1.73215 2.25407 0.204196 -0.388318 0.931507 -0.13379 0.29465 -1.73215 2.25407
-1.84411 2.13813 0.128469 -0.08505 0.908878 0.509656 0.29465 -1.73215 2.25407
-1.89282 1.9531 -0.58703 -0.558312 -1.00498 0.784852 0.292655 -1.89282 1.9531
-2.14789 1.98197 0.165832 0.261644 0.491605 -1.31431 0.292655 -1.89282 1.9531
-2.66028 1.51681 -0.967347 0.336827 0.687238 -0.103062 0.296503 -2.66028 1.51681
-2.52462 2.03497 0.228386 -0.156003 0.532304 0.246828 0.296503 -2.66028 1.51681
-2.62113 1.87258 -0.129986 -0.275339 -2.16718 -0.496983 0.296011 -2.62113 1.87258
-1.95627 1.75008 0.770865 0.306519 0.254967 -0.577962 0.296011 -2.62113 1.87258
-2.54536 1.44691 -0.809429 -0.970349 -1.48138 -1.20458 0.295821 -2.54536 1.44691
-3.02339 1.32371 0.844194 0.250775 0.0269877 -1.56476 0.295821 -2.54536 1.44691
-3.0314 1.81577 -0.158821 0.726613 -0.331485 0.511604 0.298583 -3.0314 1.81577
-2.28707 2.20571 1.72166 -0.108526 -0.845749 -0.343297 0.298583 -3.0314 1.81577
-1.37551 2.31325 0.967214 0.536111 -0.812562 0.974667 0.295389 -1.37551 2.31325
-1.12806 2.63773 -0.044108 -0.519247 -0.344493 -1.05877 0.295389 -1.37551 2.31325
-1.19679 2.22496 0.957094 0.189885 0.665564 -1.19674 0.295426 -1.19679 2.22496
-0.609083 2.24934 0.127008 -0.0215563 -0.175006 -0.590261 0.295426 -1.19679 2.22496
-1.04974 2.93006 -0.353409 0.2136 0.751742 1.13923 0.296637 -1.04974 2.93006
-1.77016 2.08268 -1.02496 -1.23186 0.343065 0.270139 0.296637 -1.04974 2.93006
-3.26233 1.52571 -1.47809 -0.589056 -0.540731 0.269901 0.299681 -3.26233 1.52571
-3.27052 1.48146 1.37779 0.300214 0.113409 -0.69899 0.299681 -3.26233 1.52571
-1.77476 1.42464 1.10843 0.270815 -0.227171 0.149221 0.29269 -1.77476 1.42464
-0.847265 1.87833 1.14032 0.605158 -1.26064 0.661415 0.29269 -1.77476 1.42464
-0.954791 1.83275 -0.81946 -1.02823 -0.859439 0.0423512 0.297107 -0.954791 1.83275
-1.35822 1.48987 -0.898205 -0.103381 1.02355 -0.658173 0.297107 -0.954791 1.83275
-2.21609 1.84003 -0.237799 0.809552 -1.07651 1.35809 0.293943 -2.21609 1.84003
-2.43196 2.08471 -0.0892598 0.0845112 0.571262 -1.06457 0.293943 -2.21609 1.84003
-2.26608 1.65006 0.322111 -0.253119 1.37265 -0.508891 0.293662 -2.26608 1.65006
